ACL,Blunders,Mistakes,Inaccuracies,Perfect Moves
70.95833333333333,5,11,6,0
66.66666666666667,4,12,4,0
36.26315789473684,0,5,9,0
60.67857142857143,5,12,6,0
36.86363636363637,0,7,9,0
35.0,0,9,4,0
59.95652173913044,6,8,2,0
115.0,16,7,1,0
105.03333333333333,16,4,5,0
135.34375,18,11,1,0
368.35897435897436,23,9,2,0

97.21428571428571,13,6,4,0
431.5135135135135,28,3,2,0
151.10256410256412,21,16,1,0
129.6216216216216,19,4,8,0
142.5,28,4,3,0
154.85294117647058,18,4,4,0
405.8695652173913,35,4,2,0

258.65714285714284,15,10,7,0
396.6,31,3,0,0

426.7755102040816,41,6,1,0
403.125,31,2,5,0
196.4,11,7,2,0
189.29166666666666,11,7,1,0
114.375,20,3,0,0
124.1470588235294,19,10,2,0
210.45833333333334,12,5,2,0
207.70833333333334,11,6,2,0
102.38235294117646,5,12,6,0
55.32142857142857,1,8,14,0
153.75,19,6,4,0
313.21875,17,2,4,0
317.5,19,4,3,0
275.05555555555554,14,6,7,0
419.82608695652175,24,4,8,0
43.51851851851852,2,9,6,0
246.92307692307693,29,6,2,0
229.35135135135135,16,11,6,0
202.20454545454547,24,9,6,0
220.0204081632653,32,3,10,0

250.98387096774192,46,3,5,0
278.8235294117647,33,7,5,0
263.6216216216216,27,5,4,0
371.8,37,5,5,0

143.85714285714286,22,5,7,0
442.89130434782606,31,4,4,0
280.7073170731707,24,6,5,0
403.72093023255815,30,6,1,0
270.12,13,4,2,0
238.2439024390244,29,3,2,0
176.4909090909091,30,10,4,0
71.03030303030303,9,12,7,0
119.84615384615384,18,8,6,0
139.5142857142857,9,11,8,0
175.03225806451613,12,10,4,0
311.46666666666664,31,6,1,0
359.4255319148936,40,1,3,0
365.275,26,4,1,0
373.06666666666666,32,5,2,0
413.5686274509804,35,4,8,0
330.64864864864865,23,3,0,0
389.56756756756755,22,3,2,0
63.416666666666664,9,1,4,0
177.39285714285714,11,4,10,0
223.6086956521739,13,6,0,0
68.64285714285714,6,12,7,0
61.5,7,8,5,0
79.68,11,5,3,0
165.24137931034483,17,2,3,0
142.0,17,2,3,0
120.63333333333334,14,6,3,0
100.62962962962963,9,11,6,0
125.47826086956522,10,3,7,0
168.65217391304347,12,4,2,0
169.3913043478261,12,4,2,0
168.04347826086956,12,4,2,0
168.27272727272728,12,3,2,0
149.0,15,3,3,0
82.84615384615384,12,4,5,0
73.9090909090909,9,2,6,0
117.3,15,5,5,0
159.03030303030303,17,3,8,0
50.333333333333336,2,8,8,0
225.0,20,9,6,0
90.72,11,6,2,0
247.0,17,4,3,0
279.5,17,2,3,0
57.8235294117647,7,9,11,0
75.6875,13,6,4,0
67.4,6,12,8,0
61.32142857142857,3,12,11,0
54.19230769230769,5,5,11,0
226.86666666666667,26,0,4,0
473.5,20,1,5,0
39.970588235294116,1,10,10,0
410.59090909090907,34,2,3,0
